images,denomination,labels
../images/ric.2_3(2).hdn.10-11\ID60781rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.10-11\ID60781vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1009-1012\ID60930rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1009-1012\ID60930vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\1996.4.5.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\1996.4.5.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID1431rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID1431vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID170990rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID170990vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID170991rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID170991vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID170992rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID170992vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID170993rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID170993vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID61088rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID61088vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID61089rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID61089vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID61090rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1015-1025\ID61090vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\1911.23.136.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\1911.23.136.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\1956.127.229.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\1956.127.229.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID1432rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID1432vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID1433rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID1433vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID1434rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID1434vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID170996rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID170996vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID170997rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID170997vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID170998rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID170998vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID170999rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID170999vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID179064rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID179064vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID61094rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID61094vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID61097rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1026-1035\ID61097vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1039-1044\1948.19.1214.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1039-1044\1948.19.1214.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1039-1044\ID1435rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1039-1044\ID1435vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1039-1044\ID171002rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1039-1044\ID171002vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1039-1044\ID171003rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1039-1044\ID171003vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1039-1044\ID61100rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1039-1044\ID61100vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1039-1044\ID61101rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1039-1044\ID61101vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1045-1050\18248781rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1045-1050\18248781vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1045-1050\1911.23.137.obv.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1045-1050\1911.23.137.rev.noscale.jpg,Denarius,2
../images/ric.2_3(2).hdn.1045-1050\ID171011rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1045-1050\ID171011vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1045-1050\ID171354rs_opt.jpg,Denarius,2
../images/ric.2_3(2).hdn.1045-1050\ID171354vs_exp.jpg,Denarius,2
../images/ric.2_3(2).hdn.1045-1050\ID61273rs_opt.jpg,Denarius,2
