"URI","Title","RecordId","From Date","To Date","Authority","Deity","Denomination","Findspot","Issuer","Manufacture","Material","Mint","Object Type","Portrait","Region","Symbol_obv","Symbol_obv_letter","Symbol_rev","Symbol_rev_letter","Obverse Legend","Obverse Type","Reverse Legend","Reverse Type","Reverse Officina Mark","Reverse Exergue","Date Record Modified"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.929-932","RIC II, Part 3 (second edition) Hadrian 929-932","ric.2_3(2).hdn.929-932","128","129","Hadrian","","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS P P","Head of Hadrian, right | Bust of Hadrian, laureate, draped and cuirassed, right, viewed from rear or side | Bust of Hadrian, draped and cuirassed, right, viewed from rear or side | Bust of Hadrian, laureate, draped and cuirassed, left, viewed from rear or side","COS III","Hadrian riding right, raising hand","","","2022-01-20T02:43:57Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2325-2330","RIC II, Part 3 (second edition) Hadrian 2325-2330","ric.2_3(2).hdn.2325-2330","137","138","Hadrian","","Denarius","","","Struck","Silver","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, right | Head of Hadrian, left | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side | Bust of Hadrian, draped, left, viewed from rear or side","VOTA PVBLICA","Hadrian standing left, holding patera over altar to left","","","2022-01-20T02:44:11Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1573-1579","RIC II, Part 3 (second edition) Hadrian 1573-1579","ric.2_3(2).hdn.1573-1579","130","133","Hadrian","Gallia","Denarius","","","Struck","Silver","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, laureate, right | Head of Hadrian, laureate, left | Head of Hadrian, right | Head of Hadrian, left | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side | Bust of Hadrian, draped and cuirassed, right, viewed from rear or side","RESTITVTORI GALLIAE","Hadrian standing right, holding scroll and raising kneeling Gallia","","","2022-01-20T02:44:04Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.781-783","RIC II, Part 3 (second edition) Hadrian 781-783","ric.2_3(2).hdn.781-783","125","127","Hadrian","","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, laureate, right | Bust of Hadrian, laureate, draped and cuirassed, right, viewed from rear or side | Bust of Hadrian, draped and cuirassed, right, viewed from rear or side","COS III","Hadrian riding right, raising hand","","","2022-01-20T02:43:54Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1052-1054","RIC II, Part 3 (second edition) Hadrian 1052-1054","ric.2_3(2).hdn.1052-1054","129","130","Hadrian","","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, left | Bust of Hadrian, draped, left, viewed from rear or side | Bust of Hadrian, draped and cuirassed, right, viewed from rear or side","COS III PP","Hadrian riding right, holding spear","","","2022-01-20T02:43:58Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1355-1367","RIC II, Part 3 (second edition) Hadrian 1355-1367","ric.2_3(2).hdn.1355-1367","129","130","Hadrian","","Dupondius||As","","","Struck","Bronze","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, laureate, right | Head of Hadrian, right | Head of Hadrian, laureate, left | Head of Hadrian, left | Bust of Hadrian, laureate, bare chest, traces of drapery on far shoulder usually visible, right | Bust of Hadrian, laureate, cuirassed, right, viewed from front | Bust of Hadrian, laureate, draped, right, viewed from rear or side | Bust of Hadrian, draped, right, viewed from rear or side | Bust of Hadrian, laureate, draped, left, viewed from rear or side | Bust of Hadrian, draped, left, viewed from rear or side | Bust of Hadrian, laureate, draped and cuirassed, right, viewed from front | Bust of Hadrian, laureate, draped and cuirassed, right, viewed from rear or side | Bust of Hadrian, draped and cuirassed, right, viewed from rear or side | Bust of Hadrian, laureate, draped and cuirassed, left, viewed from rear or side","COS III P P // S C (in exergue or field)","Hadrian riding right, holding spear","","","2022-01-20T02:44:02Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.889","RIC II, Part 3 (second edition) Hadrian 889","ric.2_3(2).hdn.889","125","127","Hadrian","","As","","","Struck","Bronze","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, laureate, right","HADRIANVS AVGVSTVS","Bust of Hadrian, laureate, draped, right","","","2022-01-20T02:43:56Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1434-1435","RIC II, Part 3 (second edition) Hadrian 1434-1435","ric.2_3(2).hdn.1434-1435","130","130","Hadrian","","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, right","VIRTVTI AVG","Hadrian riding right, holding spear","","","2022-01-20T02:44:03Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.778-779","RIC II, Part 3 (second edition) Hadrian 778-779","ric.2_3(2).hdn.778-779","125","127","Hadrian","","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, laureate, right | Bust of Hadrian, laureate, draped and cuirassed, right, viewed from rear or side","COS III","Hadrian riding left, raising hand and holding spear","","","2022-01-20T02:43:54Z"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.772-774","RIC II, Part 3 (second edition) Hadrian 772-774","ric.2_3(2).hdn.772-774","125","127","Hadrian","","Aureus","","","Struck","Gold","Rome","Coin","Hadrian","Italy","","","","","HADRIANVS AVGVSTVS","Head of Hadrian, laureate, right | Bust of Hadrian, laureate, draped and cuirassed, right, viewed from rear or side | Bust of Hadrian, draped and cuirassed, right, viewed from rear or side","COS III","Hadrian riding left, pointing spear forward","","","2022-01-20T02:43:54Z"
